icao24;callsign;origin_country;time_position;last_contact;longitude;latitude;baro_altitude;on_ground;velocity;true_track;vertical_rate;sensors;geo_altitude;squawk;spi;position_source
4baa86;THY4WB  ;Turkey;1677688571.0;1677688571;29.0404;40.9284;2369.82;False;132.27;281.44;-6.5;;2537.46;;False;0
ae4e90;SH167   ;United States;1677688588.0;1677688588;-86.9578;31.0672;2308.86;False;149.7;80.51;19.51;;2407.92;1200;False;0
4baa87;THY6AZ  ;Turkey;1677688576.0;1677688583;28.7081;41.2289;259.08;False;67.92;358.7;-3.9;;365.76;;False;0
8963d5;UAE149  ;United Arab Emirates;1677688588.0;1677688588;24.2799;45.6394;10972.8;False;233.06;306.11;0.0;;10942.32;3215;False;0
4baa84;THY5CE  ;Turkey;1677688588.0;1677688588;11.5065;48.3456;8488.68;False;214.19;278.29;-7.8;;8465.82;6460;False;0
47bb0a;SAS4544 ;Norway;1677688587.0;1677688588;11.3747;61.2858;8862.06;False;204.78;4.18;5.85;;8915.4;5033;False;0
abdb88;RPA3498 ;United States;1677688588.0;1677688588;-74.2369;40.5857;1463.04;False;122.65;217.16;17.23;;1470.66;1607;False;0
aa720f;SKW3277 ;United States;1677688588.0;1677688588;-102.4625;34.6071;10972.8;False;184.28;296.35;-0.98;;11109.96;;False;0
a0e6c4;UAL609  ;United States;1677688587.0;1677688588;-84.0291;41.2861;7315.2;False;136.01;264.14;0.0;;7277.1;;False;0
a0e6c6;UAL301  ;United States;1677688588.0;1677688588;-87.7302;45.5806;10972.8;False;190.51;285.99;0.0;;10660.38;;False;0
