AirportCode;CityCode;CountryCode;LocationType;UtcOffset;TimeZoneId;Position.Coordinate.Latitude;Position.Coordinate.Longitude;Names.Name.@LanguageCode;Names.Name.$
JBD;ZBD;CN;Bus Station;+08:00;Asia/Shanghai;22.5858;113.0858;EN;Jiangmen Cz Bus Station
JBK;JBK;US;Airport;-08:00;America/Los_Angeles;37.95;-122.3;EN;Berkeley Heliport
JBP;LAX;US;Airport;-08:00;America/Los_Angeles;33.9867;-118.1597;EN;Los Angeles Commerce Bus. Park H/P
JBQ;SDQ;DO;Airport;-04:00;America/Santo_Domingo;18.5722;-69.9856;EN;Santo Domingo Dr. J Balaguer
JBR;JBR;US;Airport;-06:00;America/Chicago;35.8331;-90.6494;EN;Jonesboro Municipal
JBS;JBS;US;Airport;-08:00;America/Los_Angeles;-28.6547;-56.0344;EN;Sao Borja Joao Manoel
JBT;BET;US;Airport;-09:00;America/Anchorage;60.7889;-161.8333;EN;Bethel Sea Plane Base
JBU;SCQ;ES;Bus Station;+01:00;Europe/Madrid;42.8875;-8.5497;EN;Santiago De Compostela Bus Station
JCA;CEQ;FR;Airport;+01:00;Europe/Paris;43.5353;7.0383;EN;Cannes Palm Beach Heliport
JCB;JCB;BR;Airport;-03:00;America/Araguaina;-27.1714;-51.5536;EN;Joacaba Santa Terezinha
JCC;SFO;US;Airport;-08:00;America/Los_Angeles;37.6167;-122.3667;EN;San Francisco China Basin H/P
JCD;STX;VI;Airport;-04:00;America/St_Thomas;17.7;-64.8;EN;St Croix Downtown H/P
JCE;OAK;US;Airport;-08:00;America/Los_Angeles;37.7333;-122.2;EN;Oakland Convention Center H/P
JCH;JCH;GL;Airport;-03:00;America/Godthab;68.8206;-51.1722;EN;Qasigiannguit Christianshaab
JCI;MKC;US;Airport;-06:00;America/Chicago;38.8481;-94.7378;EN;Kansas City New Century Aircenter Apt
JCJ;CJU;KR;Airport;+09:00;Asia/Seoul;33.9333;126.3167;EN;Jeju Chuja Heliport
JCK;JCK;AU;Airport;+10:00;Australia/Brisbane;-20.6683;141.7225;EN;Julia Creek
JCL;JCL;CZ;Airport;+01:00;Europe/Prague;48.9517;14.435;EN;Ceske Budejovice Jihoceske Ietiste Cesk
JCM;JCM;BR;Airport;-03:00;America/Araguaina;-11.1833;-40.5167;EN;Jacobina
JCN;JCN;KR;Airport;+09:00;Asia/Seoul;37.4722;126.6083;EN;Incheon Heliport
JCO;JCO;MT;Airport;+01:00;Europe/Malta;36.0167;14.3333;EN;Kemmuna Heliport
JCR;JCR;BR;Airport;-03:00;America/Araguaina;-6.2336;-57.7683;EN;Jacareacanga
JCS;JCS;BR;Airport;-03:00;America/Araguaina;-5.2117;-40.705;EN;Aeroporto De Crateus
JCT;JCT;US;Airport;-06:00;America/Chicago;30.4833;-99.7667;EN;Junction Kimble County
JCU;JCU;ES;Airport;+01:00;Europe/Madrid;35.8922;-5.3069;EN;Ceuta Heliport
JCX;LAX;US;Airport;-08:00;America/Los_Angeles;34.05;-118.2667;EN;Los Angeles Citicorp Plaza H/P
JCY;JCY;US;Airport;-06:00;America/Chicago;32.3333;-97.3333;EN;Johnson City Lbj Ranch
JDA;JDA;US;Airport;-08:00;America/Los_Angeles;44.4167;-118.95;EN;John Day Grant County Regional
JDB;DFW;US;Airport;-06:00;America/Chicago;32.7667;-97.3167;EN;Dallas Cbd Vertiport
JDE;JDE;CN;Airport;+08:00;Asia/Shanghai;29.3592;119.1794;EN;Jiande Qiandaohu
JDF;JDF;BR;Airport;-03:00;America/Araguaina;-21.7917;-43.3861;EN;Juiz De Fora Francisco De Assis
JDG;JDG;KR;Airport;+09:00;Asia/Seoul;33.3983;126.7131;EN;Jeongseok
JDH;JDH;IN;Airport;+05:30;Asia/Kolkata;26.2511;73.0489;EN;Jodhpur
JDM;MIA;US;Airport;-05:00;America/New_York;25.8028;-80.2861;EN;Miami Downtown H/P
JDN;JDN;US;Airport;-07:00;America/Denver;47.3167;-106.9167;EN;Jordan
JDO;JDO;BR;Airport;-03:00;America/Araguaina;-7.2186;-39.2714;EN;Juazeiro Do Norte O. Bezerra De Menezes
JDP;PAR;FR;Airport;+01:00;Europe/Paris;48.8333;2.2728;EN;Paris Issy Les Moulineaux Hp
JDR;JDR;BR;Airport;-03:00;America/Araguaina;-21.0867;-44.2267;EN;Sao Joao Del Rei O.De Almeida Neves
JDT;MSP;US;Airport;-06:00;America/Chicago;44.9028;-93.2167;EN;Minneapolis Downtown H/P
JDX;HOU;US;Airport;-06:00;America/Chicago;29.7667;-95.3333;EN;Houston First City Heliport
JDY;JDY;US;Airport;-08:00;America/Los_Angeles;33.9564;-118.1206;EN;Downey Heliport
JDZ;JDZ;CN;Airport;+08:00;Asia/Shanghai;29.3392;117.1764;EN;Jingdezhen
JEA;JEA;ES;Rail Station;+01:00;Europe/Madrid;37.78;-3.7908;EN;Jaen Rail Station
JEC;JEC;US;Off-Line Point;-05:00;America/New_York;40.7483;-74.0631;EN;Jersey City Offline Point Jersey City O
JED;JED;SA;Airport;+03:00;Asia/Riyadh;21.6794;39.1567;EN;Jeddah
JEE;JEE;HT;Airport;-05:00;America/Port-au-Prince;18.6667;-74.1667;EN;Jeremie
JEF;JEF;US;Airport;-06:00;America/Chicago;38.6;-92.15;EN;Jefferson City Memorial
JEG;JEG;GL;Airport;-03:00;America/Godthab;68.7211;-52.7936;EN;Aasiaat Heliport
JEJ;JEJ;MH;Airport;+12:00;Pacific/Majuro;7.565;168.9619;EN;Jeh Island
JEK;RYL;ZM;Airport;+02:00;Africa/Lusaka;-15.6333;29.6036;EN;Lower Zambezi Nat. Park Jeki
JEM;JEM;US;Airport;-08:00;America/Los_Angeles;37.95;-122.3361;EN;Emeryville Heliport
JEQ;JEQ;BR;Airport;-03:00;America/Araguaina;-13.85;-40.0833;EN;Jequie
JER;JER;GB;Airport;+00:00;Europe/London;49.2078;-2.1953;EN;Jersey
JEV;JEV;FR;Off-Line Point;+01:00;Europe/Paris;48.6167;2.4167;EN;Evry Off-Line Point
JFK;NYC;US;Airport;-05:00;America/New_York;40.6397;-73.7789;EN;New York J F Kennedy
