AirportCode;CityCode;CountryCode;LocationType;UtcOffset;TimeZoneId;Latitude;Longitude;AirportName
ULV;ULY;RU;Airport;+04:00;Europe/Volgograd;54.2689;48.2239;Ulyanovsk Baratayevka
ULX;ULX;ZA;Airport;+02:00;Africa/Johannesburg;-24.7831;31.3544;Ulusaba
ULY;ULY;RU;Airport;+04:00;Europe/Volgograd;54.4011;48.8028;Ulyanovsk
ULZ;ULZ;MN;Airport;+08:00;Asia/Ulaanbaatar;47.7103;96.5256;Uliastai Donai
UMA;UMA;CU;Airport;-05:00;America/Havana;20.25;-74.15;Punta De Maisi
UMB;UMB;US;Airport;-09:00;America/Anchorage;53.3667;-167.9;Umnak Island North Umnak
UMC;UMC;PG;Airport;+10:00;Pacific/Port_Moresby;-7.0167;145.9667;Umba
UMD;UMD;GL;Airport;-03:00;America/Godthab;70.6806;-52.1117;Uummannaq
UME;UME;SE;Airport;+01:00;Europe/Stockholm;63.7919;20.2828;Umea
UMI;UMI;PE;Airport;-05:00;America/Lima;-13.2667;-70.6333;Quince Mil
UMM;UMM;US;Airport;-09:00;America/Anchorage;63.3333;-149.1333;Summit
UMR;UMR;AU;Airport;+09:30;Australia/Adelaide;-31.1667;136.8333;Woomera Raaf Base
UMS;UMS;RU;Airport;+09:00;Asia/Yakutsk;60.3561;134.4347;Ust-Maya
UMT;UMT;US;Airport;-09:00;America/Anchorage;69.3667;-152.1333;Umiat
UMU;UMU;BR;Airport;-03:00;America/Araguaina;-23.7986;-53.3139;Umuarama Orlando De Carvalho
UMY;UMY;UA;Airport;+02:00;Europe/Zaporozhye;50.9333;34.7833;Sumy
UMZ;UMZ;US;Airport;-06:00;America/Chicago;34.5453;-94.2025;Mena Intermountain Muni
UNA;UNA;BR;Airport;-03:00;America/Araguaina;-15.3553;-38.9989;Ilha Comandatuba/Una
UNC;UNC;CO;Airport;-05:00;America/Bogota;8.0333;-77.0833;Unguia
UND;UND;AF;Airport;+04:30;Asia/Kabul;36.6653;68.9106;Kunduz
UNE;UNE;LS;Airport;+02:00;Africa/Maseru;-30.1;28.7;Qacha's Nek
UNG;UNG;PG;Airport;+10:00;Pacific/Port_Moresby;-6.125;141.2856;Kiunga
UNI;UNI;VC;Airport;-04:00;America/St_Vincent;12.6167;-61.4333;Union Island
UNK;UNK;US;Airport;-09:00;America/Anchorage;63.8883;-160.7989;Unalakleet
UNN;UNN;TH;Airport;+07:00;Asia/Bangkok;9.7775;98.5856;Ranong
UNR;UNR;MN;Airport;+08:00;Asia/Ulaanbaatar;47.3047;110.6089;Ondorkhaan
UNS;UMB;US;Airport;-09:00;America/Anchorage;53.3333;-168.3333;Umnak
UNT;UNT;GB;Airport;+00:00;Europe/London;60.75;-0.85;Unst Baltasound
UNU;UNU;US;Airport;-06:00;America/Chicago;43.4;-88.7;Juneau Dodge County
UOA;UOA;PF;Airport;-10:00;Pacific/Tahiti;-21.8097;-138.8122;Moruroa Atoll
UOL;UOL;ID;Airport;+08:00;Asia/Makassar;1.1047;121.4153;Buol Pogogul
UON;UON;LA;Airport;+07:00;Asia/Vientiane;20.8167;102.0;Muong Sai
UOS;UOS;US;Airport;-06:00;America/Chicago;35.0667;-85.9167;Sewanee Franklin County
UOX;UOX;US;Airport;-06:00;America/Chicago;34.3833;-89.5333;University-Oxford
UPA;UPA;CU;Airport;-05:00;America/Havana;22.3833;-78.8167;Punta Alegre
UPB;HAV;CU;Airport;-05:00;America/Havana;23.0328;-82.5794;Havana Playa Baracoa
UPC;UPC;ES;Off-Line Point;+00:00;Atlantic/Canary;28.3833;-16.55;Puerto De La Cruz Off-Line Point
UPF;UPF;DE;Airport;+01:00;Europe/Berlin;48.9;8.7;Pforzheim Off-Line Point
UPG;UPG;ID;Airport;+08:00;Asia/Makassar;-5.0617;119.5542;Ujung Pandang
UPK;UPK;GL;Airport;-03:00;America/Godthab;72.1528;-55.5311;Upernavik Kujalleq Heliport
UPL;UPL;CR;Airport;-06:00;America/Costa_Rica;10.7833;-85.0333;Upala
UPN;UPN;MX;Airport;-06:00;America/Mexico_City;19.3967;-102.0392;Uruapan Ignacio Lopez Rayon
UPP;UPP;US;Airport;-10:00;Pacific/Honolulu;20.2667;-155.85;Hawi Upolu
UPR;UPR;PG;Airport;+10:00;Pacific/Port_Moresby;-8.5333;142.6333;Upiara
UPV;UPV;GB;Airport;+00:00;Europe/London;51.3;-1.8167;Upavon
UQE;UQE;US;Airport;-09:00;America/Anchorage;58.8833;-158.5;Queen
URA;URA;KZ;Airport;+05:00;Asia/Qyzylorda;51.1511;51.5417;Uralsk
URB;URB;BR;Airport;-03:00;America/Araguaina;-20.8;-51.5667;Castilho Urubupunga
URC;URC;CN;Airport;+08:00;Asia/Shanghai;43.9072;87.4742;Urumqi
URD;URD;DE;Airport;+01:00;Europe/Berlin;49.8;11.1333;Burg Feuerstein
URE;URE;EE;Airport;+02:00;Europe/Tallinn;58.23;22.5094;Kuressaare
URG;URG;BR;Airport;-03:00;America/Araguaina;-29.7822;-57.0375;Uruguaiana Rubem Berta Intl
